98,"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,Българска литература,програмна акредитация - докторска програма,дава акредитация,9.1,17.9.2020
99,"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,Български език,програмна акредитация - докторска програма,дава акредитация,9.2,17.9.2020
100,"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,Германски езици,програмна акредитация - докторска програма,дава акредитация,9.2,17.9.2020
101,"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,"Литература на народите на Европа, Америка, Африка, Азия и Австралия",програмна акредитация - докторска програма,дава акредитация,9.03,17.9.2020
102,"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,"Общо и сравнително езикознание/вкл.Съпоставително и балканско eзикознание, структурна лингвистика, приложна лингвистика. Социолингвистика, психолингвистика, математическа лингвистика, етнолингвистика",програмна акредитация - докторска програма,дава акредитация,9.18,17.9.2020
103,"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,Руска литература и литература на народите на Русия,програмна акредитация - докторска програма,дава акредитация,9.13,17.9.2020
104,"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,Славянски езици,програмна акредитация - докторска програма,дава акредитация,9.2,17.9.2020
105,"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,Теория и практика на превода,програмна акредитация - докторска програма,дава акредитация,9.1,17.9.2020
106,"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,Теория на литературата,програмна акредитация - докторска програма,дава акредитация,9.1,17.9.2020
107,"Великотърновски университет ""Св. св. Кирил и Методий""",2.1,Филология,"Фолклористика /вкл.Български фолклор, славянски фолклор/",програмна акредитация - докторска програма,дава акредитация,9.02,17.9.2020
108,"Великотърновски университет ""Св. св. Кирил и Методий""",2.2,История и археология,"Археология (вкл. нумизматика, епиграфика и палеография)",програмна акредитация - докторска програма,дава акредитация,9.5,12.9.2024
109,"Великотърновски университет ""Св. св. Кирил и Методий""",2.2,История и археология,История на България,програмна акредитация - докторска програма,дава акредитация,9.49,12.9.2024
110,"Великотърновски университет ""Св. св. Кирил и Методий""",2.2,История и археология,Културно-историческо наследство,програмна акредитация - докторска програма,дава акредитация,8.78,14.12.2021
111,"Великотърновски университет ""Св. св. Кирил и Методий""",2.2,История и археология,Нова и най-нова обща история,програмна акредитация - докторска програма,дава акредитация,9.43,12.9.2024
112,"Великотърновски университет ""Св. св. Кирил и Методий""",2.2,История и археология,Средновековна обща история,програмна акредитация - докторска програма,дава акредитация,9.48,12.9.2024
113,"Великотърновски университет ""Св. св. Кирил и Методий""",2.2,История и археология,Стара история,програмна акредитация - докторска програма,дава акредитация,9.3,12.9.2024
114,"Великотърновски университет ""Св. св. Кирил и Методий""",2.3,Философия,История на философията,програмна акредитация - докторска програма,дава акредитация,9.01,11.4.2024
115,"Великотърновски университет ""Св. св. Кирил и Методий""",2.3,Философия,Логика,програмна акредитация - докторска програма,дава акредитация,9.14,6.11.2019
116,"Великотърновски университет ""Св. св. Кирил и Методий""",2.3,Философия,Онтология,програмна акредитация - докторска програма,дава акредитация,8.42,11.4.2023
117,"Великотърновски университет ""Св. св. Кирил и Методий""",2.3,Философия,Философия на правото и политиката,програмна акредитация - докторска програма,дава акредитация,9.12,6.11.2019
118,"Великотърновски университет ""Св. св. Кирил и Методий""",2.4,Религия и теология,Теология,програмна акредитация - докторска програма,дава акредитация,9.21,31.5.2023
119,"Великотърновски университет ""Св. св. Кирил и Методий""",3.1,"Социология, антропология и науки за културата",Етнология,програмна акредитация - докторска програма,дава акредитация,9.18,13.3.2025
120,"Великотърновски университет ""Св. св. Кирил и Методий""",3.2,Психология,Обща психология ,програмна акредитация - докторска програма,дава акредитация,9.65,16.9.2022
121,"Великотърновски университет ""Св. св. Кирил и Методий""",3.2,Психология,Педагогическа и възрастова психология ,програмна акредитация - докторска програма,дава акредитация,9.5,16.9.2022
122,"Великотърновски университет ""Св. св. Кирил и Методий""",3.2,Психология,Социална психология  ,програмна акредитация - докторска програма,дава акредитация,9.55,16.9.2022
123,"Великотърновски университет ""Св. св. Кирил и Методий""",3.3,Политически науки,Политология,програмна акредитация - докторска програма,дава акредитация,9.53,16.9.2022
124,"Великотърновски университет ""Св. св. Кирил и Методий""",3.4,Социални дейности,Организация и управление извън сферата на материалното производство (Социални дейности),програмна акредитация - докторска програма,дава акредитация,8.58,27.9.2021
125,"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Административно право и административен процес,програмна акредитация - докторска програма,дава акредитация,8.8,12.1.2022
126,"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Граждански процес,програмна акредитация - докторска програма,дава акредитация,8.18,17.10.2018
127,"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Гражданско и семейно право,програмна акредитация - докторска програма,дава акредитация,9,25.10.2024
128,"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Гражданско процесуално право,програмна акредитация - докторска програма,дава акредитация,9.08,25.10.2024
129,"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,История на правото,програмна акредитация - докторска програма,дава акредитация,8.98,25.10.2023
130,"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Конституционно право,програмна акредитация - докторска програма,дава акредитация,8.94,12.1.2022
131,"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Международно право и международни отношения,програмна акредитация - докторска програма,дава акредитация,9,7.1.2022
132,"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Наказателно право,програмна акредитация - докторска програма,дава акредитация,9.05,12.1.2023
133,"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Наказателно процесуално право (Наказателен процес),програмна акредитация - докторска програма,дава акредитация,9.05,7.1.2022
134,"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Теория на държавата и правото,програмна акредитация - докторска програма,дава акредитация,8.98,12.1.2022
135,"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Трудово право и обществено осигуряване,програмна акредитация - докторска програма,дава акредитация,8.58,28.9.2022
136,"Великотърновски университет ""Св. св. Кирил и Методий""",3.6,Право,Финансово право,програмна акредитация - докторска програма,дава акредитация,9.04,12.1.2023
137,"Великотърновски университет ""Св. св. Кирил и Методий""",3.7,Администрация и управление,Икономика и управление (индустрия),програмна акредитация - докторска програма,дава акредитация,8.96,10.12.2019
138,"Великотърновски университет ""Св. св. Кирил и Методий""",3.8,Икономика,Политическа икономия,програмна акредитация - докторска програма,дава акредитация,8.19,2.7.2020
139,"Великотърновски университет ""Св. св. Кирил и Методий""",3.8,Икономика,"Счетоводна отчетност, контрол и анализ на стопанската дейност",програмна акредитация - докторска програма,дава акредитация,8.46,25.5.2021
